date,game_pk,market_type,bet_type,score,model_p,implied_p,edge,result
2026-05-22,824842,ML,moneyline,10,0.720,0.567,0.120,1
2026-05-22,825082,ML,moneyline,10,0.710,0.697,0.013,0
2026-05-23,824920,ML,moneyline,10,0.720,0.634,0.086,0
2026-05-23,825080,ML,moneyline,10,0.710,0.660,0.050,1
2026-05-24,824840,ML,moneyline,0,0.500,0.567,-0.067,0
2026-05-24,824839,ML,moneyline,10,0.720,0.576,0.120,1
2026-05-25,824598,ML,moneyline,10,0.720,0.528,0.120,1
2026-05-26,824275,ML,moneyline,10,0.720,0.578,0.120,0
2026-05-27,824596,ML,moneyline,9,0.685,0.524,0.120,1
2026-05-27,824270,ML,moneyline,10,0.710,0.528,0.120,1
2026-05-28,824272,ML,moneyline,10,0.720,0.576,0.120,0
2026-05-29,824353,ML,moneyline,3,0.720,0.439,0.120,1
2026-05-30,823375,TOTAL,total,0,0.546,0.512,0.033,1
2026-05-30,824593,ML,moneyline,10,0.710,0.500,0.120,1
2026-05-31,824354,ML,moneyline,10,0.720,0.507,0.120,0
2026-05-31,824592,ML,moneyline,10,0.720,0.576,0.120,1
2026-06-02,824675,RL,spread,8,0.573,0.667,-0.093,1
2026-06-02,822971,RL,spread,9,0.583,0.618,-0.035,1
2026-06-02,823460,RL,spread,8,0.583,0.650,-0.067,1
2026-06-02,824754,RL,spread,8,0.573,0.638,-0.064,1
2026-06-02,825079,ML,moneyline,9,0.695,0.502,0.120,0
2026-06-03,824755,RL,spread,8,0.583,0.612,-0.029,0
2026-06-03,824755,TOTAL,total,8,0.635,0.531,0.104,1
2026-06-03,822973,RL,spread,9,0.692,0.630,0.062,1
2026-06-03,822973,TOTAL,total,0,0.750,0.535,0.215,0
2026-06-03,823130,RL,spread,8,0.750,0.643,0.107,1
2026-06-03,823456,TOTAL,total,0,0.740,0.512,0.228,1
2026-06-03,823780,RL,spread,8,0.750,0.627,0.120,1
2026-06-03,824188,TOTAL,total,0,0.750,0.512,0.238,0
2026-06-03,824509,TOTAL,total,0,0.750,0.535,0.215,1
2026-06-03,824917,RL,spread,8,0.740,0.627,0.113,0
2026-06-03,824024,RL,spread,8,0.740,0.627,0.113,0
2026-06-03,823540,RL,spread,8,0.667,0.630,0.037,1
2026-06-03,824671,RL,spread,8,0.667,0.652,0.015,1
2026-06-04,823457,TOTAL,total,0,0.500,0.512,-0.012,0
2026-06-05,822810,RL,spread,8,0.727,0.617,0.110,1
2026-06-05,822810,RL,spread,8,0.727,0.617,0.110,1
2026-06-05,822810,TOTAL,total,0,0.500,0.512,-0.012,0
2026-06-05,822892,TOTAL,total,0,0.500,0.545,-0.045,1
2026-06-05,823455,TOTAL,total,0,0.500,0.524,-0.024,0
2026-06-05,823538,RL,spread,8,0.717,0.635,0.082,1
2026-06-05,823538,RL,spread,8,0.717,0.635,0.082,1
2026-06-05,824350,ML,moneyline,10,0.710,0.429,0.120,1
2026-06-05,824350,ML,moneyline,10,0.710,0.429,0.120,0
2026-06-05,824350,ML,moneyline,10,0.710,0.429,0.120,0
2026-06-05,824914,ML,moneyline,10,0.710,0.597,0.113,1
2026-06-05,824914,ML,moneyline,10,0.710,0.597,0.113,1
2026-06-05,824914,RL,spread,8,0.717,0.632,0.085,0
2026-06-05,825073,ML,moneyline,10,0.720,0.587,0.120,0
2026-06-05,825073,ML,moneyline,10,0.720,0.587,0.120,0
2026-06-06,823697,RL,spread,8,0.730,0.630,0.100,1
2026-06-06,823697,RL,spread,8,0.730,0.630,0.100,1
2026-06-06,823942,ML,moneyline,0,0.500,0.778,-0.278,1
2026-06-06,823942,RL,spread,0,0.500,0.618,-0.118,1
2026-06-06,824269,TOTAL,total,0,0.500,0.512,-0.012,1
2026-06-06,824669,ML,moneyline,10,0.720,0.611,0.109,1
2026-06-06,824669,ML,moneyline,10,0.720,0.611,0.109,1
2026-06-06,824669,RL,spread,8,0.750,0.630,0.120,1
2026-06-06,825075,TOTAL,total,0,0.500,0.512,-0.012,1
2026-06-07,822807,RL,spread,8,0.750,0.644,0.106,0
2026-06-07,822890,RL,spread,8,0.750,0.652,0.098,0
2026-06-07,823537,ML,moneyline,2,0.720,0.631,0.089,1
2026-06-07,824349,ML,moneyline,0,0.561,0.649,-0.088,1
2026-06-07,825074,RL,spread,8,0.740,0.644,0.096,0
2026-06-08,822806,TOTAL,total,0,0.590,0.535,0.055,1
2026-06-08,823218,RL,spread,8,0.682,0.620,0.062,1
2026-06-08,823289,RL,spread,8,0.672,0.659,0.013,0
2026-06-09,823290,TOTAL,total,0,0.615,0.556,0.059,0
2026-06-09,823620,RL,spread,8,0.667,0.659,0.008,1
2026-06-09,823858,ML,moneyline,10,0.720,0.569,0.120,1
2026-06-09,823858,ML,moneyline,10,0.720,0.569,0.120,1
2026-06-09,824267,ML,moneyline,10,0.720,0.569,0.120,1
2026-06-09,824267,ML,moneyline,10,0.720,0.569,0.120,1
2026-06-09,824999,TOTAL,total,0,0.625,0.512,0.113,1
2026-06-10,822970,RL,spread,8,0.670,0.627,0.043,0
2026-06-10,822970,RL,spread,8,0.670,0.627,0.043,0
2026-06-10,823618,RL,spread,8,0.680,0.650,0.030,1
2026-06-10,823618,RL,spread,8,0.680,0.650,0.030,1
2026-06-10,824022,RL,spread,8,0.680,0.667,0.013,1
2026-06-10,824428,TOTAL,total,0,0.601,0.500,0.101,0
2026-06-10,824590,TOTAL,total,0,0.611,0.500,0.111,1
2026-06-10,824831,ML,moneyline,10,0.720,0.512,0.120,1
2026-06-10,824831,ML,moneyline,10,0.720,0.512,0.120,1
2026-06-11,823855,ML,moneyline,10,0.720,0.567,0.120,1
2026-06-11,823855,ML,moneyline,10,0.720,0.567,0.120,1
2026-06-11,824346,ML,moneyline,1,0.720,0.418,0.120,0
2026-06-11,824346,ML,moneyline,1,0.720,0.418,0.120,0
2026-06-12,822726,TOTAL,total,0,0.600,0.545,0.055,0
2026-06-12,823370,RL,spread,8,0.667,0.627,0.040,1
2026-06-12,823370,RL,spread,8,0.667,0.627,0.040,1
2026-06-12,823695,RL,spread,0,0.600,0.630,-0.030,1
2026-06-12,824752,RL,spread,8,0.657,0.652,0.005,0
2026-06-12,824752,RL,spread,8,0.657,0.652,0.005,0
2026-06-12,824826,RL,spread,0,0.600,0.615,-0.015,0
2026-06-12,823695,TOTAL,total,6,0.605,0.528,0.077,1
2026-06-13,823694,TOTAL,total,6,0.605,0.500,0.105,1
2026-06-13,823776,RL,spread,0,0.555,0.655,-0.100,1
2026-06-14,822722,TOTAL,total,0,0.583,0.535,0.048,0
2026-06-14,823212,RL,spread,9,0.658,0.653,0.006,0
2026-06-14,823212,RL,spread,9,0.658,0.653,0.006,0
2026-06-14,823615,RL,spread,8,0.647,0.654,-0.007,0
2026-06-14,823777,TOTAL,total,0,0.583,0.545,0.038,1
2026-06-14,824099,RL,spread,0,0.573,0.655,-0.082,0
2026-06-14,824506,ML,moneyline,10,0.720,0.522,0.120,0
2026-06-14,824506,ML,moneyline,10,0.720,0.522,0.120,0
2026-06-15,822887,RL,spread,0,0.546,0.618,-0.073,1
2026-06-15,823046,RL,spread,0,0.546,0.649,-0.104,0
2026-06-15,823046,RL,spread,0,0.546,0.618,-0.073,0
2026-06-15,824181,RL,spread,0,0.546,0.650,-0.105,1
2026-06-15,824505,RL,spread,0,0.556,0.649,-0.094,0
2026-06-15,824505,RL,spread,0,0.556,0.645,-0.090,0
2026-06-15,824505,TOTAL,total,0,0.556,0.512,0.043,0
