game_pk,game_date_et,season,team_id,team_abbr,is_home,opp_sp_hand,ab,h,d,t3,hr,bb,hbp,sf,pa,obp,slg,runs_scored
661042,4/7/2022,2022,108,LAA,1,L,29,4,0,1,0,1,1,0,31,0.1935,0.2069,1
663418,4/7/2022,2022,109,AZ,1,R,26,3,0,0,1,7,1,0,34,0.3235,0.2308,4
661333,4/7/2022,2022,111,BOS,0,R,39,9,2,0,1,3,1,0,43,0.3023,0.359,5
663178,4/7/2022,2022,112,CHC,1,R,29,8,3,0,1,4,1,1,35,0.3714,0.4828,5
661577,4/7/2022,2022,113,CIN,0,L,35,10,0,0,1,1,1,1,38,0.3158,0.3714,6
662766,4/7/2022,2022,114,CLE,0,R,33,7,1,0,0,4,0,0,37,0.2973,0.2424,1
661042,4/7/2022,2022,117,HOU,0,R,35,8,4,0,2,3,0,0,38,0.2895,0.5143,3
662766,4/7/2022,2022,118,KC,1,R,28,4,2,0,0,2,0,0,31,0.2,0.2143,3
662571,4/7/2022,2022,120,WSH,1,R,32,6,1,0,1,2,0,0,35,0.2353,0.3125,1
662571,4/7/2022,2022,121,NYM,0,L,35,12,2,0,0,4,3,0,42,0.4524,0.4,5
662021,4/7/2022,2022,134,PIT,0,R,30,6,0,0,0,2,0,0,32,0.25,0.2,0
663418,4/7/2022,2022,135,SD,0,L,29,4,1,0,0,7,0,0,36,0.3056,0.1724,2
661750,4/7/2022,2022,136,SEA,0,R,31,5,0,0,1,7,1,0,39,0.3333,0.2581,2
662021,4/7/2022,2022,138,STL,1,R,31,8,2,0,3,7,1,2,41,0.3902,0.6129,9
661750,4/7/2022,2022,142,MIN,1,L,29,4,0,0,1,4,1,0,34,0.2647,0.2414,1
661577,4/7/2022,2022,144,ATL,1,R,31,4,0,0,1,5,0,0,36,0.25,0.2258,3
661333,4/7/2022,2022,147,NYY,1,R,39,9,1,0,3,4,2,1,46,0.3261,0.4872,6
663178,4/7/2022,2022,158,MIL,0,R,33,10,4,0,0,4,1,2,40,0.375,0.4242,4
663417,4/8/2022,2022,109,AZ,1,L,29,2,0,0,0,1,0,0,30,0.1,0.069,0
661918,4/8/2022,2022,110,BAL,0,L,33,7,2,0,1,3,1,0,37,0.2973,0.3636,1
663147,4/8/2022,2022,112,CHC,1,L,31,6,0,0,1,2,0,0,33,0.2424,0.2903,1
661576,4/8/2022,2022,113,CIN,0,R,32,6,1,0,0,3,1,1,37,0.2703,0.2188,6
662933,4/8/2022,2022,115,COL,1,R,35,7,4,0,0,3,0,0,38,0.2632,0.3143,3
661041,4/8/2022,2022,117,HOU,0,L,40,14,3,0,6,3,0,0,43,0.3953,0.875,13
662933,4/8/2022,2022,119,LAD,0,L,36,8,2,0,0,4,1,0,41,0.3171,0.2778,5
662559,4/8/2022,2022,120,WSH,1,R,30,5,0,0,1,1,1,1,33,0.2121,0.2667,3
662559,4/8/2022,2022,121,NYM,0,R,37,13,3,1,1,6,1,0,45,0.4545,0.5676,7
661131,4/8/2022,2022,133,ATH,0,R,34,6,1,0,2,0,1,0,35,0.2,0.3824,5
663417,4/8/2022,2022,135,SD,0,R,34,11,2,0,1,3,0,0,38,0.3784,0.4706,3
662124,4/8/2022,2022,137,SF,1,R,33,6,1,0,3,7,0,0,40,0.325,0.4848,6
661918,4/8/2022,2022,139,TB,1,L,30,8,0,0,0,3,0,2,35,0.3143,0.2667,2
661782,4/8/2022,2022,140,TEX,0,R,35,8,1,0,3,5,1,0,41,0.3415,0.5143,8
661782,4/8/2022,2022,141,TOR,1,R,31,9,2,0,2,5,0,1,37,0.3784,0.5484,10
661131,4/8/2022,2022,143,PHI,1,R,33,11,4,0,1,5,0,1,39,0.4103,0.5455,9
662888,4/8/2022,2022,145,CWS,0,L,34,8,3,0,1,3,0,0,37,0.2973,0.4118,4
662124,4/8/2022,2022,146,MIA,0,R,39,9,0,0,2,3,0,0,42,0.2857,0.3846,5
663147,4/8/2022,2022,158,MIL,0,L,31,3,1,0,2,4,2,0,37,0.2432,0.3226,3
661040,4/9/2022,2022,108,LAA,1,R,27,6,1,0,2,5,0,0,33,0.3438,0.4815,2
663404,4/9/2022,2022,109,AZ,1,R,31,5,2,0,1,2,0,0,33,0.2121,0.3226,2
661917,4/9/2022,2022,110,BAL,0,R,34,8,2,0,1,1,1,0,36,0.2778,0.3824,3
661332,4/9/2022,2022,111,BOS,0,R,33,5,2,0,1,4,0,0,37,0.2432,0.303,2
663205,4/9/2022,2022,112,CHC,1,R,33,10,1,0,0,7,3,1,44,0.4545,0.3333,9
661575,4/9/2022,2022,113,CIN,0,R,29,3,0,0,0,2,0,0,32,0.1613,0.1034,1
662765,4/9/2022,2022,114,CLE,0,R,33,5,1,0,0,1,1,0,35,0.2,0.1818,0
662931,4/9/2022,2022,115,COL,1,R,32,8,1,0,1,1,1,0,34,0.2941,0.375,3
662864,4/9/2022,2022,116,DET,1,R,31,7,1,0,0,5,0,0,36,0.3333,0.2581,2
661040,4/9/2022,2022,117,HOU,0,R,29,2,0,0,0,2,1,0,32,0.1563,0.069,0
662765,4/9/2022,2022,118,KC,1,R,32,6,0,0,0,2,0,0,34,0.2353,0.1875,1
662931,4/9/2022,2022,119,LAD,0,R,34,7,0,0,1,0,0,0,34,0.2059,0.2941,2
662588,4/9/2022,2022,120,WSH,1,R,31,4,0,0,0,1,0,0,32,0.1563,0.129,0
662588,4/9/2022,2022,121,NYM,0,R,35,9,2,0,1,5,1,0,41,0.3659,0.4,5
661130,4/9/2022,2022,133,ATH,0,R,30,5,1,0,0,1,0,0,31,0.1935,0.2,2
662020,4/9/2022,2022,134,PIT,0,R,35,9,3,0,0,4,0,1,40,0.325,0.3429,2
661756,4/9/2022,2022,136,SEA,0,R,35,9,3,0,1,4,0,0,39,0.3333,0.4286,4
662123,4/9/2022,2022,137,SF,1,R,31,5,2,0,0,2,0,0,33,0.2121,0.2258,1
662020,4/9/2022,2022,138,STL,1,R,33,10,3,0,1,4,1,0,38,0.3947,0.4848,6
661917,4/9/2022,2022,139,TB,1,R,29,8,1,1,1,3,0,1,33,0.3333,0.4828,5
661803,4/9/2022,2022,140,TEX,0,R,35,9,1,0,0,1,0,0,36,0.2778,0.2857,3
661803,4/9/2022,2022,141,TOR,1,R,32,9,1,0,1,2,2,0,37,0.3611,0.4063,4
661756,4/9/2022,2022,142,MIN,1,R,31,4,0,0,2,2,1,0,34,0.2059,0.3226,3
661130,4/9/2022,2022,143,PHI,1,L,29,7,2,0,3,4,1,0,34,0.3529,0.6207,4
661575,4/9/2022,2022,144,ATL,1,R,29,8,4,0,0,4,2,1,36,0.3889,0.4138,2
662864,4/9/2022,2022,145,CWS,0,R,36,10,2,1,1,0,0,0,37,0.2778,0.4722,5
662123,4/9/2022,2022,146,MIA,0,L,32,5,2,0,0,3,0,0,35,0.2286,0.2188,2
661332,4/9/2022,2022,147,NYY,1,R,27,4,0,0,2,3,0,0,30,0.2333,0.3704,4
663205,4/9/2022,2022,158,MIL,0,L,28,4,0,0,0,3,2,0,33,0.2727,0.1429,0
663395,4/10/2022,2022,109,AZ,1,L,30,5,1,0,2,9,0,0,39,0.359,0.4,5
661916,4/10/2022,2022,110,BAL,0,R,32,6,2,0,0,5,0,0,37,0.2973,0.25,0
661316,4/10/2022,2022,111,BOS,0,L,30,5,1,0,1,4,1,2,37,0.2703,0.3,4
663204,4/10/2022,2022,112,CHC,1,R,30,4,1,0,1,6,0,0,36,0.2778,0.2667,4
661573,4/10/2022,2022,113,CIN,0,R,34,7,2,0,1,6,0,0,40,0.325,0.3529,6
662755,4/10/2022,2022,114,CLE,0,L,48,22,3,2,2,4,1,0,53,0.5094,0.7292,17
662934,4/10/2022,2022,115,COL,1,L,33,10,0,0,2,3,2,1,39,0.3846,0.4848,9
662887,4/10/2022,2022,116,DET,1,R,28,2,0,1,0,4,0,0,32,0.1875,0.1429,1
661039,4/10/2022,2022,117,HOU,0,L,34,7,1,0,0,5,0,0,39,0.3077,0.2353,4
662755,4/10/2022,2022,118,KC,1,R,34,7,2,0,0,1,1,0,36,0.25,0.2647,3
662934,4/10/2022,2022,119,LAD,0,R,35,10,1,0,0,2,0,1,38,0.3158,0.3143,4
662570,4/10/2022,2022,120,WSH,1,R,29,5,0,0,1,1,0,0,31,0.2,0.2759,4
662570,4/10/2022,2022,121,NYM,0,R,33,7,1,0,1,4,0,0,37,0.2973,0.3333,2
661129,4/10/2022,2022,133,ATH,0,R,35,9,2,0,1,3,1,0,39,0.3333,0.4,4
662019,4/10/2022,2022,134,PIT,0,L,41,15,3,0,1,3,0,0,44,0.4091,0.5122,9
663395,4/10/2022,2022,135,SD,0,L,34,8,1,1,2,6,1,2,43,0.3488,0.5,10
661738,4/10/2022,2022,136,SEA,0,R,33,7,2,0,1,4,0,0,37,0.2973,0.3636,4
662122,4/10/2022,2022,137,SF,1,L,29,6,2,0,0,1,0,1,31,0.2258,0.2759,3
662019,4/10/2022,2022,138,STL,1,R,31,7,2,0,1,2,0,2,35,0.2571,0.3871,4
661916,4/10/2022,2022,139,TB,1,R,32,11,3,0,1,5,0,1,38,0.4211,0.5313,8
661802,4/10/2022,2022,140,TEX,0,L,37,11,2,0,3,7,0,1,45,0.4,0.5946,12
661802,4/10/2022,2022,141,TOR,1,R,36,10,2,0,4,1,1,0,38,0.3158,0.6667,6
661738,4/10/2022,2022,142,MIN,1,L,35,10,1,0,6,3,0,0,38,0.3421,0.8286,10
661129,4/10/2022,2022,143,PHI,1,R,29,3,0,0,1,3,0,0,32,0.1875,0.2069,1
661573,4/10/2022,2022,144,ATL,1,R,32,7,1,0,2,2,0,1,35,0.2571,0.4375,3
662887,4/10/2022,2022,145,CWS,0,L,39,13,5,0,1,3,0,1,43,0.3721,0.5385,10
661316,4/10/2022,2022,147,NYY,1,R,36,11,2,0,0,4,1,0,41,0.3902,0.3611,3
663204,4/10/2022,2022,158,MIL,0,R,31,5,1,0,3,5,0,0,36,0.2778,0.4839,5
661036,4/11/2022,2022,108,LAA,1,R,30,7,2,0,2,6,0,0,36,0.3611,0.5,6
663403,4/11/2022,2022,110,BAL,1,R,31,6,1,0,0,6,0,0,37,0.3243,0.2258,2
662863,4/11/2022,2022,111,BOS,0,R,31,4,1,0,1,0,0,0,31,0.129,0.2581,1
