game_date_et,game_pk,away_abbr,home_abbr,venue,season,dog_side,dog_ml,fav_ml,dog_win,signal_proxy_structural_any,struct_owm,struct_lhp,struct_mvf,struct_mvb,struct_h3b,wind_mph,wind_dir_raw,wind_effect,away_era_wma,home_ops_wma,away_throws,opening_total_line,bucket,units_pl_data_row,data_quality
2026-04-01,822835,COL,TOR,Rogers Centre,2026,home,227,-255,0,0,0,0,0,0,0,0,"0 mph, None",LOW,,0.8342,,8.50,+200+,-1.0000,incomplete
2026-04-01,823078,NYM,STL,Busch Stadium,2026,away,134,-158,0,0,0,0,0,0,0,7,"7 mph, L To R",MODERATE,,0.6778,,8.50,+120-149,-1.0000,incomplete
2026-04-01,823157,NYY,SEA,T-Mobile Park,2026,away,-104,-112,1,0,0,0,0,0,0,0,"0 mph, None",MODERATE,,0.5815,,7.00,<+120,0.9615,incomplete
2026-04-01,823321,SF,SD,Petco Park,2026,home,122,-144,1,0,0,0,0,0,0,10,"10 mph, L To R",MODERATE,,0.5023,,7.50,+120-149,1.2200,incomplete
2026-04-01,823483,WSH,PHI,Citizens Bank Park,2026,away,154,-184,0,0,0,0,0,0,0,10,"10 mph, L To R",HIGH,,0.6017,,9.00,+150-199,-1.0000,incomplete
2026-04-01,823806,TB,MIL,American Family Field,2026,away,118,-138,0,0,0,0,0,0,0,0,"0 mph, None",LOW,,0.7908,,7.50,<+120,-1.0000,incomplete
2026-04-01,823889,CWS,MIA,loanDepot park,2026,home,128,-152,1,0,0,0,0,0,0,0,"0 mph, None",SUPPRESSED,,0.8070,,8.50,+120-149,1.2800,incomplete
2026-04-01,823970,CLE,LAD,Dodger Stadium,2026,home,215,-260,0,0,0,0,0,0,0,12,"12 mph, Varies",MODERATE,,0.6766,,8.00,+200+,-1.0000,incomplete
2026-04-01,824136,MIN,KC,Kauffman Stadium,2026,home,100,-118,1,0,0,0,0,0,0,6,"6 mph, In From RF",HIGH,,0.6411,,8.50,<+120,1.0000,incomplete
2026-04-01,824211,BOS,HOU,Daikin Park,2026,home,134,-158,1,0,0,0,0,0,0,0,"0 mph, None",LOW,,0.9676,,7.50,+120-149,1.3400,incomplete
2026-04-01,824536,PIT,CIN,Great American Ball Park,2026,away,-108,-108,1,0,0,0,0,0,0,8,"8 mph, R To L",HIGH,,0.6521,,9.00,<+120,0.9259,incomplete
2026-04-01,824698,LAA,CHC,Wrigley Field,2026,away,120,-142,0,1,0,0,1,0,0,21,"21 mph, In From LF",HIGH,,0.6190,,7.50,+120-149,-1.0000,incomplete
2026-04-01,824860,TEX,BAL,Oriole Park at Camden Yards,2026,home,112,-132,1,0,0,0,0,0,0,5,"5 mph, Out To RF",MODERATE,,0.6689,,8.50,<+120,1.1200,incomplete
2026-04-01,824940,ATH,ATL,Truist Park,2026,home,190,-230,1,0,0,0,0,0,0,3,"3 mph, Out To LF",MODERATE,,0.6738,,7.50,+150-199,1.9000,incomplete
2026-04-01,825106,DET,AZ,Chase Field,2026,home,138,-152,1,0,0,0,0,0,0,11,"11 mph, Varies",LOW,,0.7834,,7.50,+120-149,1.3800,incomplete
2026-04-02,823242,NYM,SF,Oracle Park,2026,away,111,-122,0,0,0,0,0,0,0,12,"12 mph, Out To CF",SUPPRESSED,,0.6284,,7.50,<+120,-1.0000,incomplete
2026-04-02,824133,MIN,KC,Kauffman Stadium,2026,home,100,-118,0,0,0,0,0,0,0,14,"14 mph, R To L",HIGH,,0.8217,,8.50,<+120,-1.0000,incomplete
2026-04-02,825105,ATL,AZ,Chase Field,2026,home,-104,-106,0,0,0,0,0,0,0,0,"0 mph, None",LOW,,0.7528,,9.00,<+120,-1.0000,incomplete
2026-04-03,822919,CIN,TEX,Globe Life Field,2026,home,142,-157,0,0,0,0,0,0,0,0,"0 mph, None",LOW,,0.7622,,8.00,+120-149,-1.0000,incomplete
2026-04-03,823240,NYM,SF,Oracle Park,2026,away,111,-122,1,0,0,0,0,0,0,8,"8 mph, Out To CF",SUPPRESSED,,0.7553,,7.50,<+120,1.1100,incomplete
2026-04-03,823406,BAL,PIT,PNC Park,2026,away,106,-124,0,1,0,0,0,1,0,16,"16 mph, Out To LF",MODERATE,,0.7239,,8.50,<+120,-1.0000,incomplete
2026-04-03,823568,MIA,NYY,Yankee Stadium,2026,home,146,-174,1,0,0,0,0,0,0,8,"8 mph, Out To LF",MODERATE,,0.6298,,8.00,+120-149,1.4600,incomplete
2026-04-03,823732,TB,MIN,Target Field,2026,away,100,-118,0,0,0,0,0,0,0,9,"9 mph, In From LF",HIGH,,0.7713,,7.50,<+120,-1.0000,incomplete
2026-04-03,824134,MIL,KC,Kauffman Stadium,2026,away,100,-118,0,0,0,0,0,0,0,15,"15 mph, L To R",HIGH,,0.7419,,8.50,<+120,-1.0000,incomplete
2026-04-03,824299,STL,DET,Comerica Park,2026,away,154,-184,0,0,0,0,0,0,0,18,"18 mph, Out To LF",MODERATE,,0.5422,,7.50,+150-199,-1.0000,incomplete
2026-04-03,824377,PHI,COL,Coors Field,2026,home,160,-190,0,1,0,0,1,0,0,19,"19 mph, In From LF",HIGH,,0.6204,,10.00,+150-199,-1.0000,incomplete
2026-04-03,824786,SD,BOS,Fenway Park,2026,away,102,-120,0,0,0,0,0,0,0,6,"6 mph, Out To CF",HIGH,,0.5853,,8.50,<+120,-1.0000,incomplete
2026-04-03,825026,HOU,ATH,Sutter Health Park,2026,home,-104,-112,1,0,0,0,0,0,0,3,"3 mph, Out To RF",HIGH,,0.5225,,10.00,<+120,0.9615,incomplete
2026-04-03,825103,ATL,AZ,Chase Field,2026,home,102,-120,0,0,0,0,0,0,0,4,"4 mph, In From CF",LOW,,0.7178,,9.00,<+120,-1.0000,incomplete
2026-04-04,822757,LAD,WSH,Nationals Park,2026,away,223,-250,1,0,0,0,0,0,0,5,"5 mph, Out To LF",HIGH,,0.7627,,9.50,+200+,2.2300,incomplete
2026-04-04,822920,CIN,TEX,Globe Life Field,2026,home,151,-167,0,0,0,0,0,0,0,0,"0 mph, None",LOW,,0.7521,,7.50,+150-199,-1.0000,incomplete
2026-04-04,823239,NYM,SF,Oracle Park,2026,away,110,-130,1,0,0,0,0,0,0,10,"10 mph, Out To CF",SUPPRESSED,,0.6597,,7.50,<+120,1.1000,incomplete
2026-04-04,823404,BAL,PIT,PNC Park,2026,away,106,-124,0,1,0,0,0,1,0,15,"15 mph, Out To LF",MODERATE,,0.7262,,8.50,<+120,-1.0000,incomplete
2026-04-04,823569,MIA,NYY,Yankee Stadium,2026,home,150,-178,1,0,0,0,0,0,0,14,"14 mph, L To R",MODERATE,,0.7372,,8.00,+150-199,1.5000,incomplete
2026-04-04,823730,TB,MIN,Target Field,2026,away,-104,-112,1,1,0,0,0,1,1,14,"14 mph, Out To RF",HIGH,,0.7726,,7.50,<+120,0.9615,incomplete
2026-04-04,824054,SEA,LAA,Angel Stadium,2026,home,136,-162,1,0,0,0,0,0,0,8,"8 mph, Out To LF",MODERATE,,0.3390,,8.00,+120-149,1.3600,incomplete
2026-04-04,824132,MIL,KC,Kauffman Stadium,2026,home,-106,-110,0,0,0,0,0,0,0,15,"15 mph, L To R",HIGH,,0.8165,,9.00,<+120,-1.0000,incomplete
2026-04-04,824295,STL,DET,Comerica Park,2026,away,146,-174,0,0,0,0,0,0,0,15,"15 mph, In From RF",MODERATE,,0.6457,,7.50,+120-149,-1.0000,incomplete
